Zipf's Law: word concordance
----------------------------
File:            example.txt
Total words:     26069
Distinct words:  1033

rank, freq, r*f
1, 2372, 2372
2, 1118, 2236
3, 1069, 3207
4, 774, 3096
5, 637, 3185
6, 589, 3534
7, 544, 3808
8, 482, 3856
9, 462, 4158
10, 427, 4270
11, 407, 4477
12.5, 327, 4087.5
14, 325, 4550
15, 286, 4290
16, 284, 4544
17, 274, 4658
18, 273, 4914
19, 248, 4712
20, 237, 4740
21, 230, 4830
22, 228, 5016
24, 214, 5136
26, 208, 5408
27, 200, 5400
28.5, 199, 5671.5
30, 191, 5730
31, 188, 5828
32, 182, 5824
33, 181, 5973
34, 175, 5950
35, 171, 5985
36, 169, 6084
37.5, 165, 6187.5
39, 164, 6396
40, 163, 6520
41, 159, 6519
42, 156, 6552
43, 155, 6665
44, 149, 6556
45, 147, 6615
46, 145, 6670
47, 141, 6627
48, 138, 6624
50.5, 137, 6918.5
53, 136, 7208
54, 128, 6912
55, 126, 6930
56, 118, 6608
57, 109, 6213
58, 108, 6264
59, 107, 6313
60, 102, 6120
61, 101, 6161
62, 100, 6200
63, 99, 6237
64.5, 96, 6192
66, 95, 6270
67, 94, 6298
68.5, 93, 6370.5
70.5, 92, 6486
73, 85, 6205
77.5, 84, 6510
81.5, 83, 6764.5
83, 82, 6806
84, 81, 6804
86, 79, 6794
88, 78, 6864
89.5, 75, 6712.5
91, 73, 6643
93, 72, 6696
96.5, 71, 6851.5
99, 68, 6732
100, 67, 6700
101, 66, 6666
102, 65, 6630
104, 64, 6656
108, 63, 6804
111.5, 62, 6913
113, 61, 6893
115, 60, 6900
117.5, 59, 6932.5
119.5, 58, 6931
121, 57, 6897
123, 56, 6888
125.5, 55, 6902.5
127, 54, 6858
129, 53, 6837
131.5, 52, 6838
134.5, 50, 6725
137.5, 49, 6737.5
139, 48, 6672
140, 47, 6580
143.5, 45, 6457.5
148.5, 44, 6534
151.5, 43, 6514.5
154.5, 42, 6489
157, 41, 6437
158.5, 40, 6340
161.5, 39, 6298.5
164, 38, 6232
165.5, 36, 5958
169, 35, 5915
174, 32, 5568
178.5, 31, 5533.5
181, 30, 5430
183, 29, 5307
186, 28, 5208
188, 27, 5076
189.5, 26, 4927
193, 25, 4825
197, 23, 4531
199.5, 22, 4389
203, 21, 4263
206.5, 20, 4130
209.5, 18, 3771
213, 17, 3621
216, 16, 3456
218.5, 15, 3277.5
220.5, 14, 3087
222.5, 12, 2670
224.5, 10, 2245
227, 6, 1362
229.5, 5, 1147.5
231.5, 4, 926
233, 3, 699
234, 577, 135018
